EVENT	# PD LOSSES	AMOUNT PD ($)	AVG PD LOSS	Year	Month
IL FLOODING APRIL 2013	3397	89704250	26407	2013	April
COLORADO FLOODING SEPT 2013	1736	69093936	39801	2013	September
FLORIDA FLOODING APRIL 2014	2143	111314399	51943	2014	April
TEXAS FLOODING MAY JUN 2015	6750	462932770	68583	2014	May
SOUTH CAROLINA FLOODING OCT 2015	3953	137833304	34868	2015	October
2015 EARLY MIDWEST WINTER STORMS	2238	96123512	42951	2016	December
LATE WINTER SEVERE STORMS	5302	281146949	53027	2016	March
TORRENTIAL RAIN - TEXAS	7404	465461726	62866	2016	April
LOUISIANA SEVERE STORMS AND FLOODING	26949	2407210081	89325	2016	August
HURRICANE MATTHEW	16193	618846090	38217	2016	October
